IP,GUID,Fairshots
191.102.114.166,39578,"[(u'39578', u'TobY', u'185.62.39.169:20100', u'1499005620', u'TobY%2A'), (u'39578', u'TobY', u'185.61.138.136:20102', u'1498846374', u'TobY%2A'), (u'39578', u'TobY', u'185.61.138.136:20102', u'1498846118', u'TobY%2A'), (u'39578', u'sRTob', u'51.254.35.64:20109', u'1494029822', u'-%3Ds%7CR%2ATob%07%60'), (u'39578', u'sRDanilO', u'188.226.137.15:20100', u'1492277481', u'-%3Ds%7CR+%23%2ADanilO%1D%1E'), (u'39578', u'sRTob', u'79.137.85.74:20105', u'1486314559', u'-%3Ds%7CR%60%2ATob%01%2A')]"
90.55.233.62,,
178.203.234.79,ee5de,[]
91.127.216.20,,
37.33.21.16,,
156.205.61.51,,
156.205.106.57,,
85.76.54.82,e822c,"[(u'e822c', u'volatileluisu', u'188.226.137.15:20101', u'1490541494', u'volatile+%23+luisu'), (u'e822c', u'volatileluisuKIPPARI', u'149.202.63.22:20106', u'1486159771', u'volatile+%23+luisu+%26lt%3BKIPPARI%26gt%3B'), (u'e822c', u'volatileluisuPERAMIES', u'149.202.63.22:20102', u'1483909359', u'volatile+%23+luisu+%26lt%3BPERAMIES%26gt%3B'), (u'e822c', u'volatileluisuPERAMIES', u'31.186.251.200:20100', u'1483740870', u'volatile+%23+luisu+%26lt%3BPERAMIES%26gt%3B'), (u'e822c', u'volatileluisu', u'31.186.251.200:20100', u'1482429351', u'volatile+%23+luisu'), (u'e822c', u'volatileluisu', u'151.236.49.106:20100', u'1480362600', u'volatile+%23+luisu')]"
200.28.34.59,,
156.198.235.224,,
79.68.75.105,,
156.205.78.194,,
156.204.170.177,,
86.84.94.28,9d2c6,"[(u'9d2c6', u'zymesone', u'31.204.136.28:20100', u'1492248830', u'zymes.one'), (u'9d2c6', u'zymesone', u'79.137.85.74:20105', u'1491860361', u'zymes.one'), (u'9d2c6', u'cLgOne', u'31.204.136.28:20100', u'1489528346', u'.cLg+%23+One'), (u'9d2c6', u'zymesone', u'51.254.35.64:20111', u'1489417646', u'zymes.one'), (u'9d2c6', u'zymesone', u'51.254.35.64:20102', u'1489417491', u'zymes.one'), (u'9d2c6', u'zymesone', u'79.137.85.74:20105', u'1489244249', u'zymes.one')]"
81.206.44.86,6fd02,"[(u'6fd02', u'cLgzro', u'51.254.35.64:20111', u'1498161534', u'.cLg+%23+zro'), (u'6fd02', u'K1CKZeR', u'51.255.200.51:20104', u'1497797282', u'-K1CK-+%04ZeR%10%60'), (u'6fd02', u'GAzRo', u'78.47.64.168:20101', u'1495985352', u'-G%7CA-%2AzRo'), (u'6fd02', u'zymesAMGS', u'51.254.35.64:20102', u'1495207307', u'zymes.AMG%2F%2FS'), (u'6fd02', u'4XDUURDER', u'79.137.85.74:20105', u'1494084385', u'4X+DUURDER'), (u'6fd02', u'cocainedansljeans', u'51.254.35.64:20111', u'1493721776', u'co-caine+dans+l%27jeans')]"
156.205.241.25,,
86.8.23.33,,
41.237.42.56,,
45.99.143.30,,
156.205.173.253,3561b,[]
156.204.182.137,5c770,"[(u'5c770', u'sIRZaToNa', u'31.186.250.93:20150', u'1495277677', u'%7E%26gt%3BsIR+%5BZaToNa%5D%08'), (u'5c770', u'ZaToNa', u'31.186.250.93:20150', u'1486382903', u'ZaToNa%2A'), (u'5c770', u'ZaToNa', u'31.186.250.93:20150', u'1486382651', u'ZaToNa%2A'), (u'5c770', u'ZaToNa', u'31.186.250.93:20150', u'1485799907', u'ZaToNa%2A'), (u'5c770', u'NiceShot', u'31.186.250.93:20150', u'1483730977', u'Nice+Shot%60'), (u'5c770', u'NiceShot', u'31.186.250.93:20150', u'1483730470', u'Nice+Shot%60')]"
156.204.16.93,,
156.205.174.201,,
156.204.120.64,2cf22,"[(u'2cf22', u'Professional', u'79.137.85.74:20105', u'1498125367', u'Professional'), (u'2cf22', u'Professional', u'78.47.64.168:20105', u'1497914774', u'Professional'), (u'2cf22', u'Professional', u'78.47.64.168:20105', u'1497914589', u'Professional'), (u'2cf22', u'Professional', u'51.254.35.64:20111', u'1495470239', u'Professional')]"
156.205.14.108,,
189.138.146.188,,
156.204.85.29,,
77.199.202.216,f6c69,"[(u'f6c69', u'keita', u'51.254.35.64:20109', u'1481827901', u'-%5D%5B-+keita%60'), (u'f6c69', u'wbgkeita', u'31.186.251.200:20100', u'1478384425', u'wbg-+keita'), (u'f6c69', u'K1CKkeita', u'51.254.35.64:20109', u'1475411869', u'-K1CK-+keita%60'), (u'f6c69', u'K1CKkeita', u'51.254.35.64:20109', u'1475411187', u'-K1CK-+keita%60'), (u'f6c69', u'K1CKkeita', u'31.186.251.200:20100', u'1475344720', u'-K1CK-+keita%60'), (u'f6c69', u'K1CKkeita', u'195.154.111.165:20101', u'1453767716', u'-K1CK-+keita%60')]"
156.204.214.245,,
156.205.124.39,,
41.237.22.169,,
156.199.127.250,,
81.227.23.227,6bcf5,[]
62.114.186.135,,
197.161.47.191,,
156.204.27.155,f94b1,"[(u'f94b1', u'SeriOus', u'78.47.64.168:20101', u'1498918342', u'SeriOus')]"
196.135.49.4,,
156.205.209.8,,
41.237.2.22,,
156.204.59.80,,
45.243.62.131,,
